word,definition
uric acid test,"blood test used to measure the amount of uric acid in
the blood"
urinal,container that holds urine
urinalysis,series of tests done on urine
urinary,having to do with urine
urinary bladder,sack that holds urine before it leaves the body
urinary catheterization,passing a tube into the urinary bladder to remove urine
urinary retention,abnormal holding of urine
urinary suppression,not able to discharge urine
urinary tract,"all the structures that make and pass urine, including
the kidneys, ureters, urinary bladder, and urethra"
urinary tract infection (uti),bladder infection
urinate,pee
urination,the act of passing urine
urine,pale yellow liquid waste material and sediment
urine casts and crystals,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
urine color,normal color for urine is straw yellow
urine ph,"urine test to find out the chemical make-up of urine
(acidity)"
urine protein,"urine test used to measure how much protein is in the
urine"
urinometer,tool used to measure the specific gravity of urine
urodynamics,the force and flow of urine
urologist,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
urticaria,hives
uterine tube,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
uterus,womb
utilization,use
utilize,use
"utilize
vacillate","use, be unsure, falter, hesitate"
"utilize
whereas","use, but"
uvula,"v-shaped tissue that hangs from the roof of the back of
the mouth"
uvulectomy,surgery to remove the uvula
uvulitis,inflammation of the uvula
vaccinate,"to protect against disease, usually by a shot"
vaccine,"shot, flu shot, medicine"
vagal,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
vagina,tube that connects the uterus to the outside of the body
vaginitis,inflammation of the vagina
vaginodynia,pain in the vagina
vaginoperineorrhgaphy,surgery to fix tears in the vagina and vaginal areas
vaginoplasty,surgery to fix the vagina
vagotomy,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
vagotonis,"increased activity of the vagus nerve causing slow
heart rate or low blood pressure"
vague,"unclear, not for sure, not certain"
validate,"prove, test"
validity,"proof, truth"
valve (of the heart),"an operation on your heart. your heart pumps blood
through your blood pipes. your heart has valves to make
sure the blood flows the right way through and out of
your heart into your blood pipes. valves make sure blood
doesn’t flow backwards. sometimes valves get sick and
don’t work properly, which means blood does flow right
through your heart into your blood pipes, which can make
your heart sick. a valve replacement puts a new valve in
your heart, it can be a big operation."
valvuloplasty,"plastic repair of a valve, esp. of the heart"
variant,"version, slightly different"
varicella,chicken p
varices,enlarged veins
varicose veins,twisted and bulging veins that are larger than normal
variola,smallpox
vary,change
vas deferens,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
vas deferns,tube that carries sperm out of the testicle
vascular,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
vasculitis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
vasectomy,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
vasoactive,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
vasoconstrictor,"drug used to make blood vessels tighten up and
become narrower"
vasodilator,"drug used to make blood vessels open up and become
bigger"
vasomotor,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
vasospasm,narrowing of the blood vessels in the brain
vasovasostomy,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
vdrl test,blood test used to detect syphilis
vector,"a carrier, usually an insect, that carries and transmits
disease causing microorganisms"
vegetative,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
vehicle,"bus, car, truck"
vein,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
vein ligation and stripping,surgery to remove twisted (varicose) veins in the legs
velocity,speed
vena cava,largest vein in the body
venipuncture,entering the vein with a needle
venogram,x-ray of a vein
ventilator,machine used to help a person breathe
ventral,toward or having to do with the front of the body
ventricle,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
venue,"place, site"
venule,little vein
verbatim,"exact, word for"
verify,"check, find out"
verruca,wart
vertebra,one of the 33 bones in the spine
vertebral column,the spine
vertebrocostal,having to do with a vertebra and a rib
vertical transmission,spread of disease
vertigo,light-headedness; dizziness
vesicle,blister
vesicourethral,having to do with the urethra and the bladder
vesicovaginal fistula,abnormal opening between the bladder and vagina
vesicular,"blisters, small bumps on your skin"
viable,"able to live, usable, can be used"
vicinity,"area, location"
videotape,a tape played on a vcr to watch and listen to
viral,having to do with a virus
viremia,viruses in the blood
virulence,strength; measure of how dangerous the disease is
virulent,"strong, dangerous"
virus,virus
visceral,having to do with the internal organs
vision,"being able to see. doctors will sometimes talk about your
‘vision’ if you have had a knock on the head and you may
be concussed. people who are blind have no vision"
visualize,picture
vital capacity,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
vital signs,"blood pressure, heart rate, breathing rate, temperature,
weight, height"
vitreous body,jelly-like liquid found in the back chamber of the eye
voice box,"the larynx sits at the top end of your windpipe trachea.
another name for the larynx is the voice box. inside the
larynx are the vocal cords which make sound."
void,urinate
voluminous,"bulky, large"
voluntary,"voluntary, done without being forced"
volvulus,twisting of the intestines causing a blockage
vomit,throw up
"vomit
ulterior","throw up, further, hidden"
vulva,the tissues around the opening to the vagina
vulvectomy,surgery to remove the vulva
vulvovaginal,having to do with the vagina and vulva
vulvovaginitis,inflammation of the vagina and vulva
waive,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
washout,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
washout period,period when receiving no treatment
waterfowl,"water birds; birds that live on water; ducks, geese,"
wheal,hive; welt
wheeze,to breathe with difficulty making a whistling sound
whereas,"while, but"
white blood cell (wbc),"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
white blood cell differential,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
white blood cells (wbcs),"cells that fight infection; a decrease can lead to an
increased risk of infection"
white cell count,number of white blood cells in the blood
whooping cough (pertussis),"bacterial infection, usually seen in young children, in
which there is a serious, loud, dry cough"
withdraw,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
"withdraw, discontinue",stop taking part
withhold,"hold back, refuse"
withstand,"take, bear, resist"
witness,"see, note, observe"
womb,uterus
x-ray,a picture of the bones and other parts inside of the
xanthochromic,having a yellow color
xanthoderma,yellow color to the skin
xanthoma,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
xanthosis,yellow color
xanthrochromic,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
xeroderma,dry skin
xeroma,abnormally dry membranes of the eye
